,age,bmi,elective_surgery,height,pre_icu_los_days,weight,apache_2_diagnosis,apache_3j_diagnosis,apache_post_operative,arf_apache,gcs_eyes_apache,gcs_motor_apache,gcs_unable_apache,gcs_verbal_apache,heart_rate_apache,intubated_apache,map_apache,resprate_apache,temp_apache,ventilated_apache,d1_diasbp_max,d1_diasbp_min,d1_diasbp_noninvasive_max,d1_diasbp_noninvasive_min,d1_heartrate_max,d1_heartrate_min,d1_mbp_max,d1_mbp_min,d1_mbp_noninvasive_max,d1_mbp_noninvasive_min,d1_resprate_max,d1_resprate_min,d1_spo2_max,d1_spo2_min,d1_sysbp_max,d1_sysbp_min,d1_sysbp_noninvasive_max,d1_sysbp_noninvasive_min,d1_temp_max,d1_temp_min,h1_diasbp_max,h1_diasbp_min,h1_diasbp_noninvasive_max,h1_diasbp_noninvasive_min,h1_heartrate_max,h1_heartrate_min,h1_mbp_max,h1_mbp_min,h1_mbp_noninvasive_max,h1_mbp_noninvasive_min,h1_resprate_max,h1_resprate_min,h1_spo2_max,h1_spo2_min,h1_sysbp_max,h1_sysbp_min,h1_sysbp_noninvasive_max,h1_sysbp_noninvasive_min,d1_glucose_max,d1_glucose_min,d1_potassium_max,d1_potassium_min,apache_4a_hospital_death_prob,apache_4a_icu_death_prob,aids,cirrhosis,diabetes_mellitus,hepatic_failure,immunosuppression,leukemia,lymphoma,solid_tumor_with_metastasis,hospital_death,icu_admit_source_0,icu_admit_source_Accident&Emergency,icu_admit_source_Floor,icu_admit_source_OperatingRoom_Recovery,icu_admit_source_OtherHospital,icu_admit_source_OtherICU,ethnicity_0,ethnicity_AfricanAmerican,ethnicity_Asian,ethnicity_Caucasian,ethnicity_Hispanic,ethnicity_NativeAmerican,ethnicity_Other_Unknown,gender_0,gender_F,gender_M,icu_type_CCU-CTICU,icu_type_CSICU,icu_type_CTICU,icu_type_CardiacICU,icu_type_MICU,icu_type_Med-SurgICU,icu_type_NeuroICU,icu_type_SICU,apache_3j_bodysystem_0,apache_3j_bodysystem_Cardiovascular,apache_3j_bodysystem_Gastrointestinal,apache_3j_bodysystem_Genitourinary,apache_3j_bodysystem_Gynecological,apache_3j_bodysystem_Hematological,apache_3j_bodysystem_Metabolic,apache_3j_bodysystem_Musculoskeletal_Skin,apache_3j_bodysystem_Neurological,apache_3j_bodysystem_Respiratory,apache_3j_bodysystem_Sepsis,apache_3j_bodysystem_Trauma,apache_2_bodysystem_0,apache_2_bodysystem_Cardiovascular,apache_2_bodysystem_Gastrointestinal,apache_2_bodysystem_Haematologic,apache_2_bodysystem_Metabolic,apache_2_bodysystem_Neurologic,apache_2_bodysystem_Renal_Genitourinary,apache_2_bodysystem_Respiratory,apache_2_bodysystem_Trauma,apache_2_bodysystem_UndefinedDiagnoses,apache_2_bodysystem_Undefineddiagnoses,icu_stay_type_admit,icu_stay_type_readmit,icu_stay_type_transfer
age,1.0,3.4628021979511955e-05,0.0844318155998213,0.0037002622306736587,0.04996633359817596,-0.013809036330553049,0.07818007133278534,0.0013048746421858329,0.0766040495238994,0.015342307035114303,0.08507529531517741,0.09412438792908316,-3.011232433133379e-05,0.04581303243574282,-0.028705390113955665,0.04351095979694517,0.040570375622833006,0.04121573042525408,0.10552793544449857,0.06511153604646921,-0.043114968530338624,-0.11679173506189644,-0.04432845148037346,-0.1131834900798238,-0.08381536038181216,-0.087103150947172,0.0026144268484828083,-0.07232813602298742,-0.008977393066637316,-0.07321128814049292,0.014515249074067349,-0.003404716290765232,0.00639430242643316,-0.035401139672955745,0.06870612558371167,-0.03450767461984845,0.0515698854588231,-0.03792223760828332,0.008525214285404852,0.006953055754081582,-0.06300017756596915,-0.09174906409065454,-0.07145446048573525,-0.09646009689666585,-0.08454508333036125,-0.08564445753775789,-0.01500986971441974,-0.04115467089654254,-0.03959646786257392,-0.0579186148855851,0.0005787127978762863,-0.0059539428487887,0.0021499412287845506,-0.0059160520295649085,0.026405844635092313,-0.0016515846558761498,-0.0053154277879653745,-0.025137875505908173,0.0474251543346538,0.06742731547719691,0.05749456858343194,0.06371493192342897,0.06654395905792466,0.037600415970993326,-0.019046291066190518,-0.006220131658125733,0.09512712452864185,-0.0028257455856258717,0.03630358063358884,0.025442179486130007,0.02065552384681456,0.03281550893844394,0.05135042922257516,0.0003583431545762142,-0.07575738107122373,0.039112674554604085,0.07137885807574379,0.007155069515457332,-0.07622366370470018,-0.00096354733042698,-0.0759183721403511,-0.00022839454290635375,0.08797039475868627,-0.014374222178732594,-0.037756186248861526,-0.03427905798766202,-0.028206477735241674,-0.01483359352853511,0.015767120482356477,0.03455658799525568,0.048085834566303956,0.03511991370270467,0.00774618606604661,0.0050991809173258846,-0.051932129474557304,-0.019099679009719858,0.004443203472536157,-0.16320907860299796,0.13361653354606454,0.03330529958723526,-0.0012462713072270148,-0.041751220957927805,-0.003053798243907008,-0.19145607082909447,-0.020134846417069727,0.004721897082809086,0.034789896168214395,0.028980954652504005,-0.07787123402882551,-0.16320907860299796,0.1271415261603085,0.03330529958723526,-0.003053798243907008,-0.19145607082909447,0.004721897082809086,-0.013825430447398385,0.034789896168214395,-0.07787123402882551,-0.01992932366480512,0.04094643257612173,0.0338163176368755,0.007689251084086266,-0.03820116139186426
bmi,3.4628021979511955e-05,1.0,0.018279378235487725,0.2863329999832551,0.004793767516480574,0.8743075951337953,0.021997662079386533,0.00032661709426178107,0.018301678731076226,-0.003749559016162212,0.002257902341362882,0.012635545497558858,0.009115198118336706,0.010130778429818571,-0.006381898454203857,0.037428240341193963,0.04152319091383454,-0.004001356679382008,0.015315283621122845,0.06570986105547323,0.051811542579543936,-0.012869785015043567,0.04350810050604836,-0.015454092548897808,-0.016891480119609194,0.029997783269357658,0.03420720356129809,0.008159660183270027,0.031314159170250495,0.007981342823794185,-0.002266740928389192,-0.0012121998749706354,0.007568552738876456,0.00379477724362888,0.06062285957554458,0.0419319360495415,0.04839083820152796,0.03474849701181891,0.015954311032295488,0.01643792194269584,0.022537457974058123,0.008668644402085214,0.013145815058370583,0.000643039721985448,-0.00447178507957222,0.008855722966994797,0.024134021949807113,0.017479314463883778,0.024017572355610393,0.0181509373453928,0.00588342788993073,0.005586269732185239,0.0071109398173944205,0.00815823506975865,0.03289267064796652,0.032165679020539455,0.021027462719527962,0.021015302748126147,0.09181467740275882,0.1047881972882882,0.0489319379406515,0.046617518785389375,-0.007566021240150525,0.005576387588325444,-0.015582609190711005,-0.0008242618401363707,0.14022399571369532,0.0005167082052303574,-0.02677594919002658,-0.008914112721502327,-0.004114963903797778,-0.035669491057804495,-0.03296130843529014,-0.009698694534879801,-0.030265286516642224,0.01371336002256037,0.022252794718845892,0.004615140330320375,0.0038951678656951125,-0.03432239258803566,0.03430419307197702,-0.039235903519656966,0.002698001745017895,-0.023872656020622145,0.01905461215895458,-0.0004060130006640861,-0.011022041582582402,0.03371019878602255,-0.033343697917755884,0.01850090351135364,0.021526328220557386,-0.029692471778671355,0.006653536508770813,0.01144862493859762,-0.008190084902865588,-0.010703614428023672,-0.00525229464826663,0.001308781139457611,0.037941770844124215,-0.016400337859914873,0.022195882087195678,0.03146079831146744,-0.004058011215045036,-0.04262164890718,0.023256539520554582,-0.024744110630959503,0.020764932132633505,0.003449600287653993,-0.04255799496958756,0.001308781139457611,0.029307276774852252,-0.016400337859914873,-0.004058011215045036,-0.04262164890718,-0.024744110630959503,0.0319378867375384,0.020764932132633505,-0.04255799496958756,0.012542551144718764,0.032040112828601516,0.004360028081584042,-0.04647724823291532,0.011408560513892694
elective_surgery,0.0844318155998213,0.018279378235487725,1.0,0.033662482205788054,0.13370448621737052,0.022581155276916686,0.3365941864385421,0.7741510741904581,0.9082467762773618,-0.026699454444456594,0.019216068092125158,0.02524463109772496,0.012605951889332445,-0.004563377503790812,-0.05367614563677398,0.1621435920204897,0.006298323903357012,-0.12993447491216006,0.04723131403979264,0.14869765019531558,-0.18635251575746256,0.008701711234557553,-0.22182378357570542,-0.03334546273166661,-0.07078207666381446,-0.024005447406604968,-0.13485872092600337,0.01441586214292483,-0.21127631505736333,-0.05656930178648804,-0.060908251004399123,-0.16835619457830842,0.023921119191416162,0.036673692375220224,-0.0909503273435505,0.03064253732977449,-0.15697140401996368,-0.028560232161247343,0.04963933470011077,0.03648350263633245,-0.09345587718600061,-0.07014976246168136,-0.23555083012658193,-0.20614527318151785,-0.09437824258474825,-0.10681764587829823,-0.03609810572802749,-0.04296349822936554,-0.23719819615922264,-0.22031848663605852,-0.16419179140472862,-0.2143759889253267,0.01777853723780372,0.02185171264768485,-0.012545996773169216,-0.020459749367760915,-0.21027948953024425,-0.1950245664701118,0.0040108782621996845,0.018764366567006068,0.09193390516680199,0.06528791370463115,-0.09184799697301918,-0.05746779799917706,-0.0061152023915716225,-0.031013532434236497,0.003641644166097837,-0.034241971311916156,-0.014071480768725098,-0.01725739387739674,-0.007968640219048537,0.01589275767450228,-0.0935736099475814,-0.010140411715038164,-0.5453072344344809,-0.17877225131174446,0.8718863713229453,-0.07404747824813049,-0.03999430966727717,0.010280251433098448,-0.044265602892380816,-0.000622562159880029,0.03789413210496113,-0.006001991191226317,-0.013051649712879363,-0.005636212937263219,-0.007834222127328191,-0.029947711833209423,0.03020587466764131,0.011566298006324725,0.18285167213901402,0.22248928380168267,-0.053923381308142976,-0.10489003042225058,-0.1462560508765884,-0.004491503140114986,0.11457904093789592,0.040025386313301325,0.18232396773770146,0.09949084991122652,0.007762807225402507,0.09775677570629791,-0.036999370706239564,-0.13304265030022827,0.12986524127749807,-0.034250863118847306,-0.06934951795107032,-0.1814422360811382,-0.034419177395780924,0.040025386313301325,-0.07715332971665902,0.09949084991122652,-0.036999370706239564,-0.13304265030022827,-0.034250863118847306,0.04339335686241533,-0.06934951795107032,-0.034419177395780924,-0.028277632225970108,0.39897615965666305,0.0576099637270882,0.008712924001628273,-0.0635706213423999
height,0.0037002622306736587,0.2863329999832551,0.033662482205788054,1.0,0.01401573460329705,0.2937089895896699,0.014412019951489616,0.027724566771960325,0.03590811546038598,0.000588706048248127,0.015852843910517864,0.017619983190218878,0.0006072575582716046,0.01618730230742726,0.004789146964202683,0.025751496651592046,0.022893381926683012,-0.010204175424560433,0.04323904868471202,0.01651156887995893,0.023941000477918258,0.0605203560116881,0.019748659249277167,0.055634253127087065,0.010155339538699256,0.007064026738006615,0.02231473157802633,0.04074538992845466,0.013950932081724623,0.03302941451192188,0.002218904630199062,-0.012969856864984723,0.05326793695646682,0.04181341435589554,0.017299471707917617,0.023913012302032167,0.012240955568760937,0.020364972854439122,0.03525572417124428,0.03189610747352934,0.04793556957462237,0.058236709529943705,0.027855395771107582,0.03945837815429459,0.01931375336354211,0.01753832223014065,0.032549141353207786,0.03821639450691725,0.011257266249879274,0.018047686507638258,0.007369746156772239,0.0019568688448948083,0.044680901097529056,0.04530718488336069,0.031066405933851002,0.03056101748564732,0.011049295865244012,0.013306194429490943,0.021637974733973227,0.025868187587281936,0.05740223169186154,0.05493146387834613,0.0014230689563635534,0.009386346725436904,0.007456124764910095,0.01129501258014999,0.014130445837727133,0.010000917096418205,0.011223620757770551,0.00307584368560936,0.010791906227167173,0.00986993083129233,-0.030482933462243504,-0.036876360646016945,-0.027802350138386743,0.0007381163284840985,0.03702490732356238,-0.004072639981946685,0.0042672736753181905,-0.08175952116268233,0.014953346340477187,-0.03096605981711905,0.05040555268908157,-0.028050176031763012,-0.0017003294984987087,-0.030925287059278172,-0.02685700420362057,-0.3170814675983706,0.3179571937625185,0.017238875869721313,0.02187898777734978,-0.0018753265643119603,-0.01053705701955714,0.014805123789969262,-0.03266054431537374,0.004238868434336682,0.01850688064042878,-0.017876565751334034,0.022549739421143477,-0.004569657228700794,-0.005976610862175679,-0.019265743850719934,-0.00375386649548331,-0.007343244781649666,0.0026625291039167522,-0.010490041262668991,-0.0041320267594388,0.003207164402650764,0.005340294652862513,-0.017876565751334034,0.01015868185463138,-0.004569657228700794,-0.00375386649548331,-0.007343244781649666,-0.010490041262668991,-0.012009802532436316,-0.0041320267594388,0.005340294652862513,-0.00424102054723025,0.03576052294985866,-0.013522602699069365,0.0033193969108877633,0.013075788383756956
pre_icu_los_days,0.04996633359817596,0.004793767516480574,0.13370448621737052,0.01401573460329705,1.0,-0.0012011085688181156,0.07618932606676307,0.08980769656431335,0.12780915769988144,0.04810083999676258,-0.01904445327089437,-0.008958430422199747,0.00882591448264379,-0.040290356538654294,0.054030096937673334,0.052513732233858114,-0.028315768371171425,0.021164387440342346,0.005288055539960876,0.08755937031133702,-0.05460783293367589,-0.04367169696428231,-0.06406509538166882,-0.05407045961277829,0.05749561590071396,0.05389116447002277,-0.05293914781171226,-0.0482118562206617,-0.06689776722282816,-0.05864828600126216,0.029053706941784947,0.007660072606761684,-0.005381616718276605,-0.028002332305224146,-0.03954407244973578,-0.04746637403914193,-0.05506692593300639,-0.058376608732517106,-0.0029367134356150797,-0.007693921103144481,-0.04901012079177277,-0.04974958800215096,-0.07197790694393336,-0.07256516349616422,0.040692118693106995,0.03962482052845289,-0.042113529681067186,-0.04745767321767526,-0.0701247422231538,-0.07239586547032781,0.01753042831193615,0.018952517520867337,-0.010924577628506871,-0.014565279417984156,-0.03494517899589356,-0.04250449039349857,-0.06606651346731847,-0.06945755270444173,0.010660520911814573,0.012703483474332105,0.04541233270090483,0.04103079992662978,0.05688314618615297,0.03612054865207647,0.008857110321304837,0.01921640941159147,0.022793308595120337,0.015248393430986213,0.032888384511836066,0.04179788998727698,0.01402374882366564,0.036705215220558904,0.06331616372520242,-0.0012964903619830717,-0.3287103564175168,0.31055289651377327,0.12713342044139103,-0.050126092460274996,0.01801686026506895,-0.011731858204551799,0.02753732485253088,0.0017495728729451112,-0.03168762034632305,0.02406793239780384,-0.003205234750946019,0.007770005050249966,-0.0050955383350337145,-0.001612510934481346,0.0017812001218733883,-0.0065476936293266865,0.007831710045571373,0.0744431979322936,0.0007538592110001362,0.008685442113514796,-0.03491330965339795,-0.02923858218364968,0.03335348562543293,0.009139657372608538,0.02327650271566202,0.03715117576617898,-0.0007931946235622432,0.02179308499919867,0.0030901695850148506,-0.06630518878391417,0.014554676611060177,-0.038513962753764217,0.04727782395530709,-0.005400985484704642,-0.04435143573002875,0.009139657372608538,-0.011111187819083247,0.03715117576617898,0.0030901695850148506,-0.06630518878391417,-0.038513962753764217,0.006072861253201748,0.04727782395530709,-0.04435143573002875,-0.007284367322951644,0.08490216374912014,-0.03487508685833637,0.08843631135459899,0.006237615784036312
weight,-0.013809036330553049,0.8743075951337953,0.022581155276916686,0.2937089895896699,-0.0012011085688181156,1.0,0.021236892530937166,0.0015331559147463987,0.02272460378819619,-0.00890621848490272,-0.005570805475673888,0.0032690386390905675,0.008813996371846766,0.008441988044557442,-0.015576524247746998,0.04251214602639644,0.05379459325579667,-0.025547604654565195,0.012814756282415619,0.0677978620247094,0.06597594442488237,0.03678504833731181,0.05531678747186429,0.030181069117337058,-0.024891320391291712,0.014971708522453478,0.04310079023375864,0.04227929247697322,0.03760681456126215,0.037843098812058114,-0.010992083681386162,-0.026585349715455495,0.0015803650139266606,-5.4424890146443025e-05,0.05904052244058312,0.05937421515868714,0.04560052808377924,0.0498656856985218,0.01587934458055738,0.01569001518419594,0.04126946562129011,0.035960448849121834,0.02523487308398672,0.02125744295352947,-0.011902836268818258,-0.0011386233993490517,0.03433159592438117,0.03133190850747031,0.028569752625188453,0.02647420296166971,-0.008495412312935158,-0.013621824242284057,-0.0011953773998616,-0.0002973325307836835,0.031209931303707382,0.032146470542184245,0.016063838269044874,0.01828443734921718,0.08285857129361365,0.10399052618457293,0.05250682091620243,0.051183199432830666,-0.017352801323288113,0.0007353235823914904,-0.013746595474020965,0.001996865300052661,0.13522805280583136,0.00387497730200317,-0.029025201841241802,-0.00931509693739958,-0.0018651989726437461,-0.034955145291332965,-0.033414063227586624,-0.006031722201811577,-0.02454633209585348,0.001053660525439063,0.02514434505982597,0.00986523706522351,0.002028129741125274,-0.023528877142437944,0.04263888588508325,-0.06506926929104291,0.02446334279591269,-0.05024827282161308,0.015768327045521748,-0.022039169751068687,-0.005628196891322766,-0.21325185168266841,0.21342900382601634,0.024245066559176992,0.025537373401246607,-0.013961743906056331,0.013820522065418077,0.0025868722412785428,-0.019010006609264857,-0.011362987609191796,-0.001808983503522975,-0.0014189316001066428,0.05470421549605199,-0.02001340241479105,0.015920185535050268,0.01208321354195706,-0.008411523139312926,-0.03405406162369123,0.020414329105136506,-0.027879397389867173,0.009393862397473468,-0.012327386151816458,-0.022207824631785424,-0.0014189316001066428,0.028448907604444837,-0.02001340241479105,-0.008411523139312926,-0.03405406162369123,-0.027879397389867173,0.019326207252719343,0.009393862397473468,-0.022207824631785424,0.014498755279270453,0.044796993078276816,0.006699593250376981,-0.04505382685674408,0.008458886518535852
apache_2_diagnosis,0.07818007133278534,0.021997662079386533,0.3365941864385421,0.014412019951489616,0.07618932606676307,0.021236892530937166,1.0,0.41753623528892986,0.39667288132541495,0.0010490042371590934,0.10231484277594896,0.11768807023644964,-0.003223142217989242,0.0643593197498821,-0.03727011324798109,0.03065130925811139,0.07085098012386502,-0.05627929528072925,0.08543680313897123,-0.008559308376879378,-0.045414137697737646,0.06623423894110532,-0.05845149797909094,0.049048289682336044,-0.10462366035864439,-0.03731670579657558,-0.013639294453182715,0.07776636174133339,-0.04311080476929867,0.048163022233588454,-0.061748909238667646,-0.08238909048359458,0.023075128162460296,0.05519841311260273,0.0223525719090243,0.09694582791209841,-0.006002307226074496,0.07078098322537962,0.012395557857884142,0.015652081591670704,-0.01249941881875824,0.01681729540408432,-0.06741650487886286,-0.036894707668047075,-0.1130828758430102,-0.10575995177164142,0.013574721403969727,0.02815166423287386,-0.0624821822947523,-0.041226402045024535,-0.11151066597534381,-0.12478238777902988,0.0041429029587097335,0.01290831793494979,0.04093678546627092,0.052804349026496625,-0.0378307809367421,-0.019087439560335893,-0.04142478491103008,-0.0368483833866188,0.012356021493317682,0.004210764473994595,-0.04128087114903151,-0.040028134478559615,-0.007176033451593557,0.0007371633876898811,0.01682007723312297,6.580256521593915e-05,-0.01063931860995288,-0.005067783774661,-0.00470661842802156,0.010184348705427596,-0.08495400366053645,-0.010415021689320174,-0.24313037291072967,-0.031137496947968097,0.34038839254879494,-0.0015991924966904263,-0.05452921806615198,-0.0017094109273705306,-0.001694444050863434,0.009450182381424413,-0.004372389069590819,0.006481221297092156,-0.006194379687676732,0.0037697936349576472,-0.004873330132171544,-0.008829276081626888,0.008990292986913171,-0.0007354245340755893,0.05126917096334032,0.09501014169450508,-0.039024591114106104,-0.04816243348162591,-0.07412108148141468,0.04956565604671549,0.06368899753700623,-0.2785616932420572,0.05864721330761257,0.0887785154786874,0.20221484565743514,0.08104660005096695,0.1168595601664845,-0.05371160442366714,0.1609966844543326,0.2350088324984966,-0.06907648644470248,-0.2979572933797909,-0.10791124056667165,-0.2785616932420572,-0.23735047865711534,0.0887785154786874,0.1168595601664845,-0.05371160442366714,0.2350088324984966,0.21729125889086512,-0.06907648644470248,-0.10791124056667165,0.08730679722760358,0.2936666036342286,0.03887038656453777,0.009954955032714378,-0.044294759287185195
apache_3j_diagnosis,0.0013048746421858329,0.00032661709426178107,0.7741510741904581,0.027724566771960325,0.08980769656431335,0.0015331559147463987,0.41753623528892986,1.0,0.8740320896850743,-0.024374538936755664,0.005430295008573285,0.0355018660417531,0.018390664274327197,-0.024673889619747404,0.03555919316546593,0.13415934570378965,0.00593594420930622,-0.11027191567746457,0.08312502066309209,0.11660183042606322,-0.1573208471011728,0.0017374804176363084,-0.18041442378341013,-0.02763492024873347,-0.0030112828707508942,0.04512090165010132,-0.1272238925184792,0.00040286947952535804,-0.17768475010836135,-0.049354300259964554,-0.06067900842304449,-0.1373289850860528,0.03624060546145456,0.050791677941027694,-0.09036416394875076,0.019319378025594153,-0.13376524675490797,-0.022243222496113005,0.05639344673021917,0.04122362584536376,-0.08180721735327764,-0.06429027581638018,-0.18616038009832117,-0.16419777511151676,-0.033105618536702276,-0.03724309774631581,-0.04539680347230668,-0.048766222505056404,-0.192401020712468,-0.17888482761801186,-0.13683894061594845,-0.16974450125221321,0.023769512227281457,0.02994592430473113,-0.018446174219731614,-0.023376725096323627,-0.16493070674156096,-0.15270710879425733,0.03562525327374713,0.004813077671519378,0.09762652547015203,0.06270006447182358,-0.0649998290133955,-0.029922913265841147,-0.0012279663671432494,-0.01666987313973776,0.005616127045880442,-0.02394035899230126,-0.002822541205405813,-0.005241805987322471,-0.00224968786189288,0.02006560846116844,-0.09080233963564094,-0.014207958498290494,-0.45111851186092516,-0.2000166886749416,0.7832974068482161,-0.08046035740769161,-0.05548733815967742,0.004232739137361812,-0.03454428222679958,0.001842146341948387,0.022781056669914646,-0.002990129910356276,0.0051393331712563045,0.00174930950864294,-0.007496093812872468,-0.0033489658579769375,0.003597083729417326,-0.074443063438682,0.09650715386068845,0.12881869674441812,-0.09030375064496012,-0.07697521933097015,-0.05084920940000073,0.04195412312768615,0.11937999658514037,-0.1612901595347495,-0.16669923964995514,0.11741293352110928,0.18173338994401828,0.1575074906542411,0.04839176274869827,0.11096015201869709,0.27206153571571445,0.035385858373618094,-0.17388987575782702,-0.04144271130318625,0.11240733760580401,-0.1612901595347495,-0.27771418129769365,0.11741293352110928,0.04839176274869827,0.11096015201869709,0.035385858373618094,0.2266176424745718,-0.17388987575782702,0.11240733760580401,0.07289846635075733,0.3595972891614115,0.04012287729919042,0.004606609811716465,-0.04377129522398776
apache_post_operative,0.0766040495238994,0.018301678731076226,0.9082467762773618,0.03590811546038598,0.12780915769988144,0.02272460378819619,0.39667288132541495,0.8740320896850743,1.0,-0.0273234249501826,-0.0024219666567485898,0.007680496597144908,0.0271021207282141,-0.030062874175185314,-0.03910270369167531,0.18659379125996714,0.005326355267426493,-0.1341508752678172,0.049804198793664725,0.18008845181716537,-0.18963154937106,0.0019990673340369073,-0.2253722071237631,-0.03987420881527677,-0.05446934401503186,-0.017921504379663503,-0.13992625861736352,0.00618578296285198,-0.21627784755692345,-0.06444351691089822,-0.06321171191940841,-0.1720311355211785,0.025908953833128575,0.03303788190125501,-0.09256791804791815,0.023154784852963496,-0.15878911319040545,-0.03556783171850295,0.05366083349813387,0.03718771365906533,-0.0942252594290167,-0.07365319490315485,-0.24014078725880275,-0.21296821166464258,-0.08666533153164492,-0.1015414048793056,-0.038154261951800175,-0.04778565817860234,-0.24304802699052763,-0.22829079161556926,-0.16864196337613377,-0.21653334962884432,0.012899405167319952,0.016476175808459507,-0.012274760190761765,-0.024246237193739244,-0.21497304725987895,-0.20226549367109403,0.008645070124980529,0.023772599339511282,0.10520556597076659,0.07322946171825204,-0.075806557131452,-0.039944844949369424,-0.00810582030481346,-0.03189881845545428,-0.0032036341054981765,-0.03345289532002688,-0.013827572132692322,-0.013468364969436378,-0.007925115871343383,0.012931241431022596,-0.08367379961707753,-0.010533768938449466,-0.5714315148158523,-0.18909473789585368,0.9148887271126592,-0.07703544099587582,-0.04116066303834018,0.010770388106263847,-0.043109104506974,-0.0014921074806400828,0.03559390403854662,-0.004970597638445346,-0.013402171097215749,-0.003399919520868978,-0.008284783794624767,-0.0326633984115339,0.032936365625172485,0.0047555031159095765,0.17677564076862518,0.22075148114996476,-0.058460742424504324,-0.10768626951926862,-0.13997700958997253,-0.007611801965325157,0.1276891534851591,-0.06816142548826193,0.1782405102449946,0.14198982625350887,0.015062849368958244,0.11663573922592103,-0.039047509306215096,-0.14151655297094343,0.14216472370891367,-0.02804228174002355,-0.07711916992894875,-0.19223381249148572,-0.0009026511053990741,-0.06816142548826193,-0.09068729532785184,0.14198982625350887,-0.039047509306215096,-0.14151655297094343,-0.02804228174002355,0.05712454051969342,-0.07711916992894875,-0.0009026511053990741,-0.0308752719423696,0.4125555612273629,0.056010188448996905,0.010608736212539957,-0.06254092704607665
arf_apache,0.015342307035114303,-0.003749559016162212,-0.026699454444456594,0.000588706048248127,0.04810083999676258,-0.00890621848490272,0.0010490042371590934,-0.024374538936755664,-0.0273234249501826,1.0,0.0020500507298149384,0.004577549424909446,-0.005486080292269109,0.001093501328745574,-0.007317040630199634,0.002599580463045076,0.006908000276242838,0.009772991655239741,-0.004652382939675554,0.003005396114747685,0.0006396262097453803,-0.04482315422544164,8.493946329061951e-05,-0.04222056131999919,-0.012637421661693148,-0.0030347196303098737,0.020175902096623243,-0.02627755113208014,0.015541857996003237,-0.025797528071141385,0.012183343820491152,-0.021410175760007796,0.01634422563594064,-0.025015755358845742,0.05186804845753573,-0.015249011760433829,0.044061231907025405,-0.014923325352751938,-0.017974215709737996,-0.019148176844678483,-0.00899921735915292,-0.023552387189318107,-0.0035905062932218325,-0.016708363545736047,-0.010733137648429173,-0.00859236894359439,0.004623424346203031,-0.005037054054541076,0.008524891411941406,-0.0010132565785583541,0.011501670239700055,0.0008311100990694062,0.0010611528798172335,-0.005257158290810634,0.018728583512140087,0.004395773910060542,0.01928179969937015,0.007419705617767396,0.03699498927784966,-0.032312472664342874,0.06115407377632109,0.04999454309511065,0.028622454593565876,0.024304453319277698,0.01100751678772495,0.022171092961278706,0.10852615427451963,0.013643888117607417,0.0024633807687116658,0.01205088116034018,-0.0035709378080607595,-0.008029601860806295,0.027009129894651675,-0.0021078590744688895,0.00017088736187249192,0.032075636970808216,-0.02857078291814556,0.0006460836863855632,-0.006784272050139943,-0.01232386049630902,0.09322821931605159,0.007017220270893861,-0.09634277430011774,0.019865522852187206,0.038921581856759854,0.0244705285117528,0.001230202385761584,-0.009457077744174397,0.009415924550472089,-0.006843075749382798,-0.0015363315968277159,0.00483202772389342,0.0025139685057116567,0.02187629759270319,-0.0033754158795061746,-0.02398233742723174,0.01244368138651664,-0.015990363502758436,0.02323058755733871,-0.00413676624454608,0.02736876020467932,-0.005336277041804357,0.006618825718816603,-0.0065691385110489674,0.0009663432691644798,-0.02908536483760812,-0.01841807041253592,0.03120662164166744,-0.0237383252588631,-0.015990363502758436,0.04734494710730696,-0.00413676624454608,0.006618825718816603,-0.0065691385110489674,-0.02908536483760812,0.02411717015712865,-0.01841807041253592,-0.0237383252588631,0.0015100739168213634,-0.010566907096649364,0.01241191767062786,0.008054542580764969,-0.015821754569193085
